GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060133270021,2569,579,86615.0,12099.0,1049,139,1049,139,328,129.31357237351384,2024
060133270022,584,206,132750.0,32247.0,190,69,190,69,82,69.13031173081747,2024
060133270023,800,258,104083.0,41498.0,347,107,347,107,141,81.80464534487024,2024
060133280001,929,223,51406.0,26701.0,590,128,581,127,323,143.03845636750978,2024
060133280002,1908,365,70667.0,34845.0,1102,156,1046,160,360,119.87493482792806,2024
060133290001,1321,493,115833.0,84594.0,481,154,432,140,332,142.35870187663275,2024
060133290002,3099,1377,,,762,198,762,198,487,229.41665153166193,2024
060133290003,1139,452,180833.0,77798.0,434,138,434,138,21,65.24568951279464,2024
060133290004,1094,324,82831.0,30306.0,494,154,494,154,261,125.99603168354153,2024
060133300001,1265,463,102109.0,23938.0,457,138,457,138,224,120.04582458378134,2024
060133300002,1907,388,119625.0,33998.0,688,130,688,130,293,130.5947931580735,2024
060133300003,1159,407,145426.0,22807.0,434,156,434,156,215,148.11144452742334,2024
060133300004,1129,296,108125.0,33832.0,466,105,466,105,159,77.23988606931007,2024
060133310001,694,458,91131.0,40973.0,268,124,230,112,77,78.87965517166008,2024
