h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8828308e63fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e67fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e81fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e85fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e87fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e8dfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308ea1fffff,107.0,31.75,129167.00000000001,47.3,lace,49.59918596193895,23.460414959997124,49.59918596193895,1.0,2024
8828308ea3fffff,105.0,31.75,129167.0,47.3,lace,48.82319248635288,23.09337004604491,48.82319248635288,1.0,2024
8828308ea5fffff,107.0,31.75,129167.0,47.3,lace,49.602918533352295,23.462180466275637,49.602918533352295,1.0,2024
8828308ea7fffff,107.0,31.75,129167.0,47.3,lace,49.561816588110744,23.44273924617638,49.561816588110744,1.0,2024
8828308ea9fffff,84.0,31.75,129167.0,47.3,lace,39.040382070708965,18.46610071944534,39.040382070708965,1.0,2024
8828308eabfffff,34.0,31.75,129167.00000000001,47.3,lace,15.844905618375932,7.494640357491815,15.844905618375932,1.0,2024
8828308eadfffff,107.0,31.75,129167.0,47.3,lace,49.60618250785555,23.463724326215676,49.60618250785555,1.0,2024
8828308eb1fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308eb5fffff,82.0,31.75,129166.99999999999,47.3,lace,38.098040653066,18.020373228900215,38.098040653066,1.0,2024
8828308eb7fffff,70.0,31.75,129167.00000000001,47.3,lace,32.541562071230835,15.392158859692183,32.541562071230835,1.0,2024
8828308ebdfffff,24.0,31.75,129167.00000000001,47.3,lace,11.29435412137335,5.342229499409594,11.29435412137335,1.0,2024
8828308ec5fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308ec7fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308ee1fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308ee3fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308ee5fffff,74.0,25.98,153601.88405640775,47.3,lace,35.50066388055676,16.79181401550335,35.50066388055676,1.0,2024
8828308ee7fffff,43.0,31.75,129166.99999999999,47.3,lace,20.04792318367204,9.482667665876875,20.04792318367204,1.0,2024
8828308ee9fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308eebfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308eedfffff,1.0,24.24,160962.0,47.3,lace,0.4133306446769621,0.19550539493220306,0.4133306446769621,1.0,2024
8828308f01fffff,3626.0,16.73,111609.34266672922,49.37,lace,1518.047985004063,749.4388606832503,1518.047985004063,1.0,2024
8828308f03fffff,3245.0,16.0,120876.14007807786,50.38,lace,1382.8570523525668,696.733591081743,1382.8570523525668,1.0,2024
8828308f05fffff,2142.0,23.84,166228.82307457493,56.17,lace,911.189977256905,511.852542959143,911.189977256905,1.0,2024
8828308f07fffff,2059.0,18.91,158429.421820617,57.04,lace,807.3692576408469,460.53575612101054,807.3692576408469,1.0,2024
8828308f09fffff,1444.0,14.56,100370.85024950116,47.4,lace,580.1756968408504,274.9913347453919,580.1756968408504,1.0,2024
8828308f0bfffff,1973.0,11.87,112301.00323329975,49.92,lace,822.7362896484368,410.68849081167707,822.7362896484368,1.0,2024
8828308f0dfffff,1522.0,20.01,125061.28748291553,51.39,lace,702.4946848205435,360.9807869907645,702.4946848205435,1.0,2024
8828308f11fffff,1555.0,14.39,94213.81639354906,56.05,lace,622.075101631328,348.6475582590238,622.075101631328,1.0,2024
8828308f13fffff,2066.0,13.57,42648.037304206155,54.44,lace,767.3342329725739,417.7742827066187,767.3342329725739,1.0,2024
8828308f15fffff,3772.0,11.54,71092.28061425877,48.41,lace,1380.8246922418134,668.3978043396003,1380.8246922418134,1.0,2024
8828308f17fffff,2771.0,15.35,56758.442748023874,48.42,lace,1052.9635403899542,509.8788604376751,1052.9635403899542,1.0,2024
8828308f19fffff,86.0,19.51,139080.66948279913,65.3,lace,50.9304830508472,33.25760543220322,50.9304830508472,1.0,2024
8828308f1bfffff,734.0,22.53,149869.09228195227,65.3,lace,432.18309582712357,282.2155615751117,432.18309582712357,1.0,2024
8828308f1dfffff,1622.0,10.68,92452.14836793253,51.85,lace,670.6231986918381,347.6958222665642,670.6231986918381,1.0,2024
8828308f21fffff,428.0,32.88,193031.01814453985,74.12,lace,184.9530887091487,137.08768922399443,184.9530887091487,1.0,2024
8828308f23fffff,459.0,42.03,149207.71212757673,71.6,lace,209.1055522956081,149.71412229344259,209.1055522956081,1.0,2024
8828308f25fffff,84.0,18.34,122382.36943202258,65.76,lace,29.730007889709093,19.55065172576883,29.730007889709093,1.0,2024
8828308f27fffff,181.0,19.27,121337.4774459309,63.5,lace,67.90966799799776,43.122639178728576,67.90966799799776,1.0,2024
8828308f29fffff,1482.0,23.46,202767.57774777114,73.03,lace,609.650618928027,445.2184356009184,609.650618928027,1.0,2024
8828308f2bfffff,1401.0,28.05,188872.17827318062,65.54,lace,593.3130767730947,388.86467526340505,593.3130767730947,1.0,2024
8828308f2dfffff,432.0,25.95,239565.5308575459,77.72,lace,179.2545994618423,139.32462609561532,179.2545994618423,1.0,2024
8828308f31fffff,1021.0,27.62,171823.0268254184,66.9,lace,437.57228313876965,292.7295034828329,437.57228313876965,1.0,2024
8828308f33fffff,1969.0,19.71,187949.61861209437,62.48,lace,796.4035125108663,497.61091703712714,796.4035125108663,1.0,2024
8828308f35fffff,539.0,32.74,142857.3031146041,72.12,lace,235.42292784399794,169.79131237096172,235.42292784399794,1.0,2024
8828308f37fffff,728.0,24.53,168541.58970847895,63.83,lace,331.2808084550027,211.4649044718554,331.2808084550027,1.0,2024
8828308f39fffff,2997.0,17.45,135919.84842883958,53.58,lace,1221.2717470370706,654.3104188301156,1221.2717470370706,1.0,2024
8828308f3bfffff,2408.0,18.09,126958.45321324126,54.91,lace,943.4374290858831,518.0326738895553,943.4374290858831,1.0,2024
8828308f3dfffff,865.0,31.92,143456.0704333172,73.3,lace,375.04800998518607,274.90756646612664,375.04800998518607,1.0,2024
8828308f51fffff,3.0,18.95,137083.0,65.3,lace,1.553160239776625,1.014213636574136,1.553160239776625,1.0,2024
8828308f53fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308f55fffff,68.0,18.75,136137.9111176773,65.1,lace,39.81931542135475,25.921193693860097,39.81931542135475,1.0,2024
8828308f57fffff,314.0,18.95,137083.0,65.3,lace,185.24377806183193,120.96418707437624,185.24377806183193,1.0,2024
8828308f5bfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308f61fffff,2.0,22.55,197750.0,70.1,lace,0.8300353006369453,0.5818547457464986,0.8300353006369453,1.0,2024
8828308f63fffff,1470.0,22.98,191248.0199265328,65.15,lace,624.9155588076892,407.102112666989,624.9155588076892,1.0,2024
8828308f67fffff,1346.0,22.69,242909.02335505755,77.58,lace,557.7269320311735,432.69249713409704,557.7269320311735,1.0,2024
