h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
88283012ebfffff,8.800504916572082,2.6721900660679343,29867.0,42798.0,339382.8,0.44339415908355573,usfs-2022,2022,partial
88283012edfffff,30.880497039122417,0.0,236273.0,334.0,,,chm-legacy,2009-2020,coverage-unknown
8828301301fffff,30.024803754386458,19.91421146306755,230091.0,71112.0,766335.6,1.0,usfs-2022,2022,full
8828301303fffff,22.646493369574383,0.0,126667.0,0.0,559321.56,0.7299664142814088,usfs-2022,2022,partial
8828301305fffff,31.713684855300283,13.592999860231236,243050.0,95700.0,766388.52,0.9999980750354976,usfs-2022,2022,full
8828301307fffff,23.400332993824957,15.944782472764002,179313.0,88077.0,766284.48,1.0,usfs-2022,2022,full
8828301309fffff,30.044418998298717,29.217439552700654,125816.0,11940.0,418766.76,0.5464168056667786,usfs-2022,2022,partial
882830130bfffff,11.019750863290113,27.426271112277938,33971.0,2985.0,308274.12,0.40229915477578,usfs-2022,2022,partial
882830130dfffff,30.519032785961407,15.871814853746057,198860.0,66845.0,651593.52,0.8501541139888061,usfs-2022,2022,partial
8828301311fffff,14.30834310836897,0.0,109546.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301313fffff,12.736859601817308,11.49110807113543,97501.0,7453.0,,,chm-legacy,2009-2020,coverage-unknown
8828301315fffff,60.23001695136263,0.0,41571.0,0.0,69021.0,0.09009129075374303,usfs-2022,2022,partial
8828301317fffff,18.042912273574977,0.0,138128.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301319fffff,43.62585687625876,28.816307621033125,334026.0,17700.0,,,chm-legacy,2009-2020,coverage-unknown
882830131bfffff,35.25234007379256,44.7615324472244,269875.0,8139.0,,,chm-legacy,2009-2020,coverage-unknown
882830131dfffff,24.492896861317913,30.637161388782907,187546.0,31415.0,,,chm-legacy,2009-2020,coverage-unknown
8828301321fffff,12.425013211203101,10.121229386256449,95225.0,102223.0,766395.0,1.0,usfs-2022,2022,full
8828301323fffff,7.280692482059593,6.593912270649962,55791.0,74535.0,766287.0,1.0,usfs-2022,2022,full
8828301325fffff,12.866237610461932,5.581607295193587,98613.0,64149.0,766445.04,0.9999971344348558,usfs-2022,2022,full
8828301327fffff,1.0739782244831522,0.010451641560952667,8230.0,27553.0,766339.56,0.999998106636433,usfs-2022,2022,full
8828301329fffff,18.863060018891385,8.75367697253286,144575.0,105863.0,766444.68,1.0,usfs-2022,2022,full
882830132bfffff,19.81514669648121,11.5662208355319,151851.0,138771.0,766337.4,0.9999988307320844,usfs-2022,2022,full
882830132dfffff,12.497686874692954,6.220465154865492,95794.0,105806.0,766495.44,0.9999953548172986,usfs-2022,2022,full
8828301331fffff,11.367762901925255,9.505567274388243,87092.0,141933.0,766127.52,1.0,usfs-2022,2022,full
8828301333fffff,1.1506446109524493,0.0,2651.0,0.0,230427.36,0.30081136863453883,usfs-2022,2022,partial
8828301335fffff,10.527168964146535,16.16490983416048,80657.0,44150.0,766178.64,0.9999978557141405,usfs-2022,2022,full
8828301337fffff,3.32605881610737,1.9352307893475134,12811.0,16199.0,385180.2,0.5027976490530526,usfs-2022,2022,partial
8828301339fffff,45.54238070302543,31.404726922286997,342842.0,62523.0,752797.8,0.9825370888098465,usfs-2022,2022,partial
882830133bfffff,55.10068456783757,17.764067494239203,286547.0,19914.0,520041.96,0.6788428591415795,usfs-2022,2022,partial
882830133dfffff,24.347146670826238,19.010731544874666,186556.0,147091.0,766233.36,1.0,usfs-2022,2022,full
8828301341fffff,60.865072359050856,23.574517498198126,273533.0,13742.0,449408.88,0.5862786787833153,usfs-2022,2022,partial
8828301343fffff,48.47083712486893,11.258278145695364,371278.0,3087.0,,,chm-legacy,2009-2020,coverage-unknown
8828301345fffff,53.82625525438819,45.11959977070196,361733.0,22747.0,672038.28,0.8766485447873352,usfs-2022,2022,partial
8828301347fffff,19.216384683882456,0.8639787328311919,1554.0,1611.0,8085.6,0.010548820830497132,usfs-2022,2022,partial
8828301349fffff,49.82500851125918,44.377561794856874,276602.0,24084.0,555147.0,0.7241712253282226,usfs-2022,2022,partial
882830134bfffff,39.432039595115306,8.49053408744539,221191.0,29182.0,560941.92,0.7318318769471467,usfs-2022,2022,partial
882830134dfffff,41.55979742697895,29.86186853461416,242046.0,37272.0,582403.32,0.7596720470819642,usfs-2022,2022,partial
8828301351fffff,36.19511203886724,0.0,277189.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301353fffff,35.71009484562754,42.42957746478873,273437.0,1884.0,,,chm-legacy,2009-2020,coverage-unknown
8828301355fffff,28.352769679300295,0.0,420.0,0.0,1481.76,0.0019335734927816309,usfs-2022,2022,partial
8828301357fffff,46.416579296202045,35.37338573834924,355443.0,13260.0,,,chm-legacy,2009-2020,coverage-unknown
8828301359fffff,38.718828981596566,22.27180527383367,296537.0,11036.0,,,chm-legacy,2009-2020,coverage-unknown
882830135bfffff,51.86055964599481,0.0,397130.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830135dfffff,37.229501228909875,0.0,285151.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301361fffff,33.33673013680039,18.93913381861466,255560.0,50994.0,766603.08,1.0,usfs-2022,2022,full
8828301363fffff,19.307611018481555,6.806423436135188,147992.0,64912.0,766494.0,0.9999971218241731,usfs-2022,2022,full
8828301365fffff,14.151691611135817,3.820357436318817,108495.0,134842.0,766654.92,0.999997434411151,usfs-2022,2022,full
8828301367fffff,15.4630988095663,6.433051249340431,118533.0,100863.0,766550.88,1.0,usfs-2022,2022,full
8828301369fffff,32.50782425766401,16.551732018488575,249223.0,52581.0,766654.2,1.0,usfs-2022,2022,full
882830136bfffff,28.059125477085683,15.534591402135137,213317.0,92313.0,760240.8,0.9917721451205581,usfs-2022,2022,full
882830136dfffff,28.6690328430224,18.50055200562042,219807.0,96470.0,766705.32,0.9999957956501684,usfs-2022,2022,full
8828301601fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301605fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301609fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830160dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301621fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301625fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301627fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301629fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830162bfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830162dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301641fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301643fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301645fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301647fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301649fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830164bfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830164dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301661fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301663fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301665fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301667fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301669fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830166bfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830166dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301701fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301703fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301705fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301707fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
