h3,lidar_pct,lidar_coverage
8828308dddfffff,11.9982,1.0
8828308de1fffff,8.8004,1.0
8828308de3fffff,8.8001,1.0
8828308de5fffff,18.1756,1.0
8828308de7fffff,12.1369,1.0
8828308de9fffff,9.2026,1.0
8828308debfffff,7.1409,1.0
8828308dedfffff,15.1807,1.0
8828308e07fffff,0.0,0.2672
8828308e17fffff,0.0,0.0055
8828308e21fffff,0.1524,0.3121
8828308e23fffff,1.5735,0.757
8828308e25fffff,0.1455,0.6181
8828308e27fffff,1.4308,1.0
8828308e29fffff,0.1491,0.6344
8828308e2bfffff,0.0089,0.7495
8828308e2dfffff,0.0,0.0569
8828308e31fffff,3.8956,1.0
8828308e33fffff,13.1706,0.9929
8828308e35fffff,3.0656,1.0
8828308e37fffff,5.8152,1.0
8828308e39fffff,0.0178,0.237
8828308e3bfffff,1.5742,0.7994
8828308e3dfffff,1.5009,0.9749
8828308e85fffff,0.0024,0.208
8828308e8dfffff,0.0,0.0944
8828308ea1fffff,11.1221,1.0
8828308ea3fffff,24.1114,1.0
8828308ea5fffff,6.8702,1.0
8828308ea7fffff,4.8268,1.0
8828308ea9fffff,5.3586,0.9995
8828308eabfffff,4.5674,0.636
8828308eadfffff,11.4176,1.0
8828308eb1fffff,0.0,0.0368
8828308eb5fffff,11.9843,0.9693
8828308eb7fffff,10.7677,0.8778
8828308ebdfffff,6.0912,0.6411
8828308ee1fffff,0.0,0.1595
8828308ee3fffff,0.0,0.7302
8828308ee5fffff,4.3971,0.6169
8828308ee7fffff,4.9311,0.8797
8828308eebfffff,0.0,0.1857
8828308eedfffff,0.0,0.0937
8828308f01fffff,10.0977,1.0
8828308f03fffff,10.158,1.0
8828308f05fffff,13.1458,1.0
8828308f07fffff,13.1914,1.0
8828308f09fffff,23.8565,1.0
8828308f0bfffff,6.6517,1.0
8828308f0dfffff,10.2543,1.0
8828308f11fffff,7.5018,1.0
8828308f13fffff,9.139,1.0
8828308f15fffff,8.7976,1.0
8828308f17fffff,5.7258,1.0
8828308f19fffff,0.0399,0.9963
8828308f1bfffff,4.4769,1.0
8828308f1dfffff,3.5794,1.0
8828308f21fffff,38.2154,1.0
8828308f23fffff,41.9145,1.0
8828308f25fffff,12.2833,1.0
8828308f27fffff,19.2925,1.0
8828308f29fffff,25.8172,1.0
8828308f2bfffff,21.4687,1.0
8828308f2dfffff,48.436,1.0
8828308f31fffff,23.055,1.0
8828308f33fffff,13.4639,1.0
8828308f35fffff,41.5071,1.0
8828308f37fffff,38.1942,1.0
8828308f39fffff,11.3309,1.0
8828308f3bfffff,10.3491,1.0
8828308f3dfffff,32.0537,1.0
8828308f51fffff,0.833,0.7585
8828308f53fffff,0.0,0.0254
8828308f55fffff,0.3328,0.8896
8828308f57fffff,1.5609,0.9425
8828308f61fffff,25.2374,1.0
8828308f63fffff,25.5239,1.0
8828308f67fffff,19.4821,1.0
8828308f6bfffff,10.4396,1.0
88283099a3fffff,58.5151,1.0
88283099a7fffff,67.4698,1.0
88283099b5fffff,50.5338,1.0
88283099b7fffff,75.5106,1.0
882830c001fffff,17.049,1.0
882830c003fffff,21.3547,1.0
882830c005fffff,31.6354,1.0
882830c007fffff,29.064,1.0
882830c009fffff,18.4746,1.0
882830c00bfffff,20.6326,1.0
882830c00dfffff,14.0019,1.0
882830c011fffff,37.8344,1.0
882830c013fffff,22.2238,1.0
882830c015fffff,13.2496,1.0
882830c017fffff,36.2486,1.0
882830c019fffff,47.0295,1.0
882830c01bfffff,50.261,1.0
882830c01dfffff,18.0353,1.0
882830c021fffff,22.7219,1.0
882830c023fffff,13.864,1.0
882830c025fffff,7.9031,1.0
882830c027fffff,5.3501,1.0
882830c029fffff,3.842,1.0
882830c02bfffff,15.729,1.0
882830c02dfffff,10.5867,1.0
882830c031fffff,31.4954,1.0
882830c033fffff,22.0959,1.0
882830c035fffff,8.1202,1.0
882830c037fffff,12.0931,1.0
882830c039fffff,29.3433,1.0
882830c03bfffff,31.0827,1.0
