h3,land,land_frac,wc_code
8929aeb2233ffff,developed,0.866,50
8929aeb2237ffff,developed,0.623,50
8929aeb223bffff,bare ground,0.559,60
8929aeb2243ffff,cropland,0.994,40
8929aeb2247ffff,cropland,0.662,40
8929aeb224bffff,cropland,0.524,40
8929aeb224fffff,developed,0.584,50
8929aeb2253ffff,cropland,0.985,40
8929aeb2257ffff,cropland,0.993,40
8929aeb225bffff,cropland,1.0,40
8929aeb2263ffff,open water,0.526,80
8929aeb2267ffff,grassland,0.8,30
8929aeb226bffff,open water,0.832,80
8929aeb226fffff,open water,0.568,80
8929aeb2273ffff,developed,0.558,50
8929aeb2277ffff,grassland,0.685,30
8929aeb227bffff,open water,0.575,80
8929aeb2283ffff,bare ground,0.49,60
8929aeb2287ffff,bare ground,0.477,60
8929aeb228bffff,grassland,0.66,30
8929aeb228fffff,bare ground,0.639,60
8929aeb2293ffff,cropland,0.602,40
8929aeb2297ffff,bare ground,0.345,60
8929aeb229bffff,grassland,0.755,30
8929aeb22a3ffff,grassland,0.534,30
8929aeb22a7ffff,grassland,0.515,30
8929aeb22abffff,bare ground,0.404,60
8929aeb22afffff,developed,0.803,50
8929aeb22b3ffff,bare ground,0.806,60
8929aeb22b7ffff,bare ground,0.576,60
8929aeb22bbffff,bare ground,0.417,60
8929aeb22c3ffff,cropland,0.975,40
8929aeb22c7ffff,cropland,0.857,40
8929aeb22cbffff,cropland,0.999,40
8929aeb22cfffff,cropland,0.999,40
8929aeb22d3ffff,cropland,1.0,40
8929aeb22d7ffff,cropland,0.845,40
8929aeb22dbffff,cropland,0.984,40
8929aeb2303ffff,developed,0.789,50
8929aeb2307ffff,developed,0.756,50
8929aeb230bffff,developed,0.837,50
8929aeb230fffff,developed,0.968,50
8929aeb2313ffff,developed,0.62,50
8929aeb2317ffff,bare ground,0.528,60
8929aeb231bffff,developed,0.748,50
8929aeb2327ffff,developed,0.844,50
8929aeb232bffff,developed,0.792,50
8929aeb232fffff,developed,0.77,50
8929aeb2333ffff,developed,0.58,50
8929aeb2343ffff,developed,0.65,50
8929aeb2347ffff,bare ground,0.848,60
8929aeb234bffff,developed,0.737,50
8929aeb234fffff,developed,0.536,50
8929aeb2353ffff,developed,0.382,50
8929aeb2357ffff,developed,0.456,50
8929aeb235bffff,developed,0.892,50
8929aeb2363ffff,developed,0.668,50
8929aeb2367ffff,bare ground,0.65,60
8929aeb2373ffff,developed,0.573,50
8929aeb2377ffff,developed,0.902,50
8929aeb237bffff,developed,0.393,50
8929aeb2383ffff,developed,0.673,50
8929aeb2387ffff,developed,0.883,50
8929aeb238bffff,developed,0.512,50
8929aeb238fffff,developed,0.904,50
8929aeb2393ffff,developed,0.808,50
8929aeb2397ffff,developed,0.924,50
8929aeb239bffff,developed,0.74,50
